symbol,alert_date,strategy,entry_price,quantity,trade_entry_date,match_type
EOSE,2025-05-12,BreakFutPennies-hold-4barWedgePopSetup,6.39,500.0,2025-05-12T00:00:00,SAME_DAY_ENTRY
NMAX,2025-05-12,BreakFutPennies-hold-4barWedgePopSetup,24.54,100.0,2025-05-12T00:00:00,SAME_DAY_ENTRY
MVST,2025-05-12,BreakFutPennies-Hi18Body-R18<=R18[9]-^AvgVol-MACDV,3.3,500.0,2025-05-16T00:00:00,TRADE_4D_AFTER_ALERT
MVST,2025-05-12,BreakFutPennies-Hi18Body-R18<=R18[9]-^AvgVol-MACDV,3.29,500.0,2025-05-16T00:00:00,TRADE_4D_AFTER_ALERT
NNE,2025-05-12,BreakFutPennies-4/144MACDVxMaxSig0,25.35,50.0,2025-05-12T00:00:00,SAME_DAY_ENTRY
NNE,2025-05-12,BreakFutPennies-4/144MACDVxMaxSig0,25.35,100.0,2025-05-12T00:00:00,SAME_DAY_ENTRY
NNE,2025-05-12,BreakFutPennies-4/144MACDVxMaxSig0,25.36,100.0,2025-05-12T00:00:00,SAME_DAY_ENTRY
AVAH,2025-05-12,BreakFutPennies-hold-3MACDV-Hi10VolumeBreakout,5.93,400.0,2025-05-16T00:00:00,TRADE_4D_AFTER_ALERT
RCAT,2025-05-12,BreakFutPennies-Hi18Body-R18<=R18[9]-^AvgVol-MACDV,5.89,400.0,2025-05-09T00:00:00,TRADE_3D_BEFORE_ALERT
VST,2025-05-13,BreakFutPennies-36/144MACDVxSig0,157.0,20.0,2025-05-16T00:00:00,TRADE_3D_AFTER_ALERT
CDRE,2025-05-13,BreakFutPennies-hold-4barWedgePopSetup,36.49,100.0,2025-05-13T00:00:00,SAME_DAY_ENTRY
EBS,2025-05-13,BreakFutPennies-hold-4barWedgePopSetup,5.85,500.0,2025-05-13T00:00:00,SAME_DAY_ENTRY
ARQQ,2025-05-13,BreakFutPennies-hold-4barWedgePopSetup,16.5,50.0,2025-05-16T00:00:00,TRADE_3D_AFTER_ALERT
ARQQ,2025-05-13,BreakFutPennies-hold-4barWedgePopSetup,16.5,50.0,2025-05-16T00:00:00,TRADE_3D_AFTER_ALERT
ROOT,2025-05-13,BreakFutPennies-4/144MACDVxMaxSig0,151.75,20.0,2025-05-13T00:00:00,SAME_DAY_ENTRY
ROOT,2025-05-13,BreakFutPennies-4/144MACDVxMaxSig0,152.16,30.0,2025-05-13T00:00:00,SAME_DAY_ENTRY
NNE,2025-05-13,BreakFutPennies-36/144MACDVxSig0,25.35,50.0,2025-05-12T00:00:00,TRADE_1D_BEFORE_ALERT
NNE,2025-05-13,BreakFutPennies-36/144MACDVxSig0,25.35,100.0,2025-05-12T00:00:00,TRADE_1D_BEFORE_ALERT
NNE,2025-05-13,BreakFutPennies-36/144MACDVxSig0,25.36,100.0,2025-05-12T00:00:00,TRADE_1D_BEFORE_ALERT
CDRE,2025-05-13,BreakFutPennies-hold-3MACDVx-Hi10VolumeBOAlt-W,36.49,100.0,2025-05-13T00:00:00,SAME_DAY_ENTRY
ACHR,2025-05-13,BreakFutPennies-hold-3MACDVx-lowVolume,9.15,100.0,2025-05-13T00:00:00,SAME_DAY_ENTRY
ACHR,2025-05-13,BreakFutPennies-hold-3MACDVx-lowVolume,9.15,200.0,2025-05-13T00:00:00,SAME_DAY_ENTRY
PL,2025-05-13,BreakFutPennies-4/144MACDVxMaxSig0,3.61,500.0,2025-05-08T00:00:00,TRADE_5D_BEFORE_ALERT
DOCU,2025-05-13,BreakFutPennies-Hi9BodyBkOut-4/9/36EMA^DI+xUp-W,84.06,50.0,2025-05-08T00:00:00,TRADE_5D_BEFORE_ALERT
DOCU,2025-05-13,BreakFutPennies-Hi9BodyBkOut-4/9/36EMA^DI+xUp-W,84.02,25.0,2025-05-08T00:00:00,TRADE_5D_BEFORE_ALERT
ROOT,2025-05-13,BreakFutPennies-hold-3MACDVx-lowVolume,151.75,20.0,2025-05-13T00:00:00,SAME_DAY_ENTRY
ROOT,2025-05-13,BreakFutPennies-hold-3MACDVx-lowVolume,152.16,30.0,2025-05-13T00:00:00,SAME_DAY_ENTRY
ACHR,2025-05-13,BreakFutPennies-hold-3MACDVx-Hi10VolumeBOAlt,9.15,100.0,2025-05-13T00:00:00,SAME_DAY_ENTRY
ACHR,2025-05-13,BreakFutPennies-hold-3MACDVx-Hi10VolumeBOAlt,9.15,200.0,2025-05-13T00:00:00,SAME_DAY_ENTRY
VST,2025-05-13,BreakFutPennies-hold-3MACDVx-lowVolume,157.0,20.0,2025-05-16T00:00:00,TRADE_3D_AFTER_ALERT
BBAI,2025-05-13,BreakFutPennies-4/144MACDVxMaxSig0,4.14,500.0,2025-05-14T00:00:00,TRADE_1D_AFTER_ALERT
EVER,2025-05-13,BreakFutPennies-4/144MACDVxMaxSig0,23.28,100.0,2025-05-08T00:00:00,TRADE_5D_BEFORE_ALERT
BBAI,2025-05-13,BreakFutPennies-hold-3MACDVx-lowVolume,4.14,500.0,2025-05-14T00:00:00,TRADE_1D_AFTER_ALERT
BBAI,2025-05-13,BreakFutPennies-low<minx4/9/36/144-close>max,4.14,500.0,2025-05-14T00:00:00,TRADE_1D_AFTER_ALERT
MVST,2025-05-13,BreakFutPennies-holdings-BigVolumeUp-Daily,3.3,500.0,2025-05-16T00:00:00,TRADE_3D_AFTER_ALERT
MVST,2025-05-13,BreakFutPennies-holdings-BigVolumeUp-Daily,3.29,500.0,2025-05-16T00:00:00,TRADE_3D_AFTER_ALERT
JOBY,2025-05-13,BreakFutPennies-hold-3MACDV-Hi10VolumeBreakout,6.99,400.0,2025-05-13T00:00:00,SAME_DAY_ENTRY
OKLO,2025-05-13,BreakFutPennies-hold-3MACDV-Hi10VolumeBreakout,27.91,100.0,2025-05-09T00:00:00,TRADE_4D_BEFORE_ALERT
OKLO,2025-05-13,BreakFutPennies-hold-3MACDV-Hi10VolumeBreakout,27.91,25.0,2025-05-09T00:00:00,TRADE_4D_BEFORE_ALERT
OKLO,2025-05-13,BreakFutPennies-hold-3MACDV-Hi10VolumeBreakout,27.91,50.0,2025-05-09T00:00:00,TRADE_4D_BEFORE_ALERT
OKLO,2025-05-13,BreakFutPennies-hold-3MACDV-Hi10VolumeBreakout,27.91,10.0,2025-05-09T00:00:00,TRADE_4D_BEFORE_ALERT
OKLO,2025-05-13,BreakFutPennies-hold-3MACDV-Hi10VolumeBreakout,27.91,15.0,2025-05-09T00:00:00,TRADE_4D_BEFORE_ALERT
ASPI,2025-05-13,BreakFutPennies-Hi18Body-R18<=R18[9]-^AvgVol-MACDV,6.82,200.0,2025-05-16T00:00:00,TRADE_3D_AFTER_ALERT
ASPI,2025-05-13,BreakFutPennies-Hi18Body-R18<=R18[9]-^AvgVol-MACDV,6.82,200.0,2025-05-16T00:00:00,TRADE_3D_AFTER_ALERT
BBAI,2025-05-14,BreakFutPennies-hold-3MACDVx-Hi10VolumeBOAlt,4.14,500.0,2025-05-14T00:00:00,SAME_DAY_ENTRY
BBAI,2025-05-14,BreakFutPennies-Hi9BodyBkOut-4/9/36EMA^DI+xUp-W,4.14,500.0,2025-05-14T00:00:00,SAME_DAY_ENTRY
SOUN,2025-05-14,BreakFutPennies-Hi9BodyBkOut-4/9/36EMA^DI+xUp-W,10.83,50.0,2025-05-12T00:00:00,TRADE_2D_BEFORE_ALERT
SOUN,2025-05-14,BreakFutPennies-Hi9BodyBkOut-4/9/36EMA^DI+xUp-W,10.83,200.0,2025-05-12T00:00:00,TRADE_2D_BEFORE_ALERT
RCAT,2025-05-14,BreakFutPennies-4/144MACDVxMaxSig0,5.89,400.0,2025-05-09T00:00:00,TRADE_5D_BEFORE_ALERT
BKSY,2025-05-14,BreakFutPennies-hold-4barWedgePopSetup,12.45,300.0,2025-05-14T00:00:00,SAME_DAY_ENTRY
OSCR,2025-05-14,BreakFutPennies-hold-4barWedgePopSetup,17.3,250.0,2025-05-14T00:00:00,SAME_DAY_ENTRY
QBTS,2025-05-14,BreakFutPennies-hold-4barWedgePopSetup,12.08,150.0,2025-05-16T00:00:00,TRADE_2D_AFTER_ALERT
QBTS,2025-05-14,BreakFutPennies-hold-4barWedgePopSetup,12.08,150.0,2025-05-16T00:00:00,TRADE_2D_AFTER_ALERT
QBTS,2025-05-14,BreakFutPennies-hold-4barWedgePopSetup,12.02,300.0,2025-05-16T00:00:00,TRADE_2D_AFTER_ALERT
RCAT,2025-05-14,BreakFutPennies-Hi9BodyBkOut-4/9/36EMA^DI+xUp-W,5.89,400.0,2025-05-09T00:00:00,TRADE_5D_BEFORE_ALERT
GRAB,2025-05-14,BreakFutPennies-hold-3MACDVx-lowVolume,5.24,500.0,2025-05-14T00:00:00,SAME_DAY_ENTRY
PHAT,2025-05-14,BreakFutPennies-hold-3MACDVx-lowVolume,3.31,400.0,2025-05-14T00:00:00,SAME_DAY_ENTRY
EVLV,2025-05-14,BreakFutPennies-hold-4barWedgePopSetup,5.11,400.0,2025-05-16T00:00:00,TRADE_2D_AFTER_ALERT
ACHR,2025-05-14,BreakFutPennies-HiVolumeSqz-MACDorEMATrend-BaseW,9.15,100.0,2025-05-13T00:00:00,TRADE_1D_BEFORE_ALERT
ACHR,2025-05-14,BreakFutPennies-HiVolumeSqz-MACDorEMATrend-BaseW,9.15,200.0,2025-05-13T00:00:00,TRADE_1D_BEFORE_ALERT
BBAI,2025-05-14,BreakFutPennies-Hi18Body-R18<=R18[9]-^AvgVol-MACDV,4.14,500.0,2025-05-14T00:00:00,SAME_DAY_ENTRY
GRAB,2025-05-14,BreakFutPennies-hold-3MACDVx-Hi10VolumeBOAlt,5.24,500.0,2025-05-14T00:00:00,SAME_DAY_ENTRY
GRAB,2025-05-14,BreakFutPennies-hold-3MACDV-Hi10VolumeBreakout,5.24,500.0,2025-05-14T00:00:00,SAME_DAY_ENTRY
BLND,2025-05-15,BreakFutPennies-4/144MACDVxMaxSig0,3.62,400.0,2025-05-14T00:00:00,TRADE_1D_BEFORE_ALERT
